chart,Time,close,num,imacd,ShaLowSD,,ShaHighUSD,ShaLowUSD
EURUSD,2019.07.10 08:00:00,1.12091,543,-0.000139125,6.00E-05,,0,0
EURUSD,2019.07.10 07:00:00,1.1207,544,-0.000173868,6.00E-05,,0,0
EURUSD,2019.07.10 06:00:00,1.12066,545,-0.000194302,0,,1.00E-04,0
EURUSD,2019.07.10 05:00:00,1.12096,546,-0.000213485,0.00015,,0,0
EURUSD,2019.07.10 04:00:00,1.12036,547,-0.000265409,1.00E-04,,0,0
EURUSD,2019.07.10 03:00:00,1.1203,548,-0.000266732,0,,0.00017,0
EURUSD,2019.07.10 02:00:00,1.12039,549,-0.000258432,0,,3.00E-05,6.00E-05
EURUSD,2019.07.10 01:00:00,1.12054,550,-0.000253242,0,,1.00E-05,0.00012
EURUSD,2019.07.10 00:00:00,1.12072,551,-0.000258208,0.00014,,0,0
EURUSD,2019.07.09 23:00:00,1.12069,552,-0.000279117,0.00031,,0,0
EURUSD,2019.07.09 22:00:00,1.12062,553,-0.00029869,0,,0.00035,7.00E-05
EURUSD,2019.07.09 21:00:00,1.12075,554,-0.0003122,0,,0,0.00013
EURUSD,2019.07.09 20:00:00,1.12102,555,-0.00033814,6.00E-05,,0,0
EURUSD,2019.07.09 19:00:00,1.12079,556,-0.000393821,0,,0.00085,0.00016
EURUSD,2019.07.09 18:00:00,1.12085,557,-0.000435744,7.00E-05,,0,0
EURUSD,2019.07.09 17:00:00,1.12052,558,-0.000489024,0,,0.00052,0.0004
EURUSD,2019.07.09 16:00:00,1.12063,559,-0.000516315,0.0003,,0,0
EURUSD,2019.07.09 15:00:00,1.12041,560,-0.000554838,0.00023,,0,0
EURUSD,2019.07.09 14:00:00,1.12024,561,-0.000573538,0.00066,,0,0
EURUSD,2019.07.09 13:00:00,1.12018,562,-0.000571754,0,,7.00E-05,0.0005
EURUSD,2019.07.09 12:00:00,1.12034,563,-0.000555051,0.00055,,0,0
EURUSD,2019.07.09 11:00:00,1.11982,564,-0.00054195,0,,0.00025,0.00024
EURUSD,2019.07.09 10:00:00,1.12073,565,-0.000464399,0.00026,,0,0
EURUSD,2019.07.09 09:00:00,1.12068,566,-0.000451317,0,,9.00E-05,2.00E-05
EURUSD,2019.07.09 08:00:00,1.12134,567,-0.000422963,0,,0,3.00E-05
EURUSD,2019.07.09 07:00:00,1.12171,568,-0.000447821,1.00E-04,,0,0
EURUSD,2019.07.09 06:00:00,1.12111,569,-0.000510708,0,,4.00E-05,0.00017
EURUSD,2019.07.09 05:00:00,1.12116,570,-0.000522455,0,,5.00E-05,6.00E-05
EURUSD,2019.07.09 04:00:00,1.1213,571,-0.000534941,0,,0.00038,0.00012
EURUSD,2019.07.09 03:00:00,1.12151,572,-0.00055735,0.0002,,0,0
EURUSD,2019.07.09 02:00:00,1.12147,573,-0.000599227,0,,0.00012,0
EURUSD,2019.07.09 01:00:00,1.12157,574,-0.000639889,8.00E-05,,0,0
EURUSD,2019.07.09 00:00:00,1.12149,575,-0.000692663,0.00019,,0,0
EURUSD,2019.07.08 23:00:00,1.12131,576,-0.000741801,0.00014,,0,0
EURUSD,2019.07.08 22:00:00,1.12087,577,-0.000775402,0,,3.00E-05,0.00011
EURUSD,2019.07.08 21:00:00,1.12116,578,-0.000762211,0,,6.00E-05,0.00015
EURUSD,2019.07.08 20:00:00,1.12148,579,-0.000763814,5.00E-05,,0,0
EURUSD,2019.07.08 19:00:00,1.12143,580,-0.000787332,0.00013,,0,0
EURUSD,2019.07.08 18:00:00,1.12076,581,-0.000800807,0,,8.00E-05,0.00038
EURUSD,2019.07.08 17:00:00,1.12144,582,-0.00073814,0,,0.00052,0.00026
EURUSD,2019.07.08 16:00:00,1.1218,583,-0.000716653,0,,0.00037,0.00013
EURUSD,2019.07.08 15:00:00,1.12228,584,-0.000715458,0.0008,,0,0
EURUSD,2019.07.08 14:00:00,1.12202,585,-0.0007524,0.00015,,0,0
